,Locality,Type of property,Subtype of property,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Floor of appartment,Number of floors,Balcony,State of the property,Build Year,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Entry phone,Elevator,Number of showers,Orientation of the front facade,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage
10891,6020 Dampremy,house,residence,45000,2,,Partially equipped,1,1,,,0,Normal,,,0,,0,,0,0,1,,2,0,0,,0,0,1,0,,,0
10892,6020 Dampremy,house,residence,145000,3,98.0,Partially equipped,1,2,,2,0,Excellent,,13.0,0,28.704782389025834,1,13.0,0,0,1,,4,1,43.0,8.0,0,0,1,0,,8.0,1
10893,6020 Dampremy,house,residence,129000,3,150.0,Partially equipped,2,2,,,0,Excellent,,31.0,0,23.0,1,13.0,0,0,1,,3,0,0,15.0,0,0,1,1,176.0,13.0,0
10894,6020 Dampremy,house,residence,149900,2,,Fully equipped,1,1,,1,0,Normal,,25.0,0,25.0,0,18.0,0,0,1,,2,1,20.0,25.0,0,0,1,1,35.0,,0
10895,6020 Dampremy,house,residence,165000,2,145.0,Partially equipped,1,2,,2,0,Excellent,,21.0,0,21.0,1,14.0,0,0,1,,3,1,20.0,40.0,0,0,1,1,100.0,12.92955947119667,0
10896,6020 Dampremy,house,residence,75000,2,,Partially equipped,1,1,,,0,Excellent,,,0,,0,,0,0,1,,2,0,0,,0,0,1,0,,,0
10897,6020 Dampremy,house,residence,80000,2,170.0,Partially equipped,1,1,,,0,To be renovated,1900,23.065262107789447,0,25.0,1,18.5193206751058,0,0,1,,2,0,0,18.671073297298005,0,0,1,0,,15.158793862782304,0
10898,6020 Dampremy,house,residence,160000,2,,Partially equipped,1,1,,,0,Excellent,,,0,,1,,0,0,1,,2,0,0,,0,0,1,0,,,0
10899,6020 Dampremy,house,residence,99900,2,130.0,Fully equipped,1,1,,1,0,Normal,,20.0,0,17.0,1,9.0,0,0,1,,2,0,0,15.0,0,0,1,0,,11.592018836245291,0
10900,6020 Dampremy,house,residence,119000,3,140.0,Partially equipped,1,1,,,0,Normal,,18.994921735826605,0,41.00683198432262,1,15.251205261851833,0,0,1,,2,0,,15.376178009539535,0,0,1,1,80.0,12.483712592879543,1
10901,6020 Dampremy,house,residence,109000,3,133.0,Partially equipped,1,1,,1,0,Excellent,1900,14.0,0,25.0,0,16.0,1,0,1,,2,1,33.0,12.0,0,0,1,1,59.0,9.0,0
10902,6020 Dampremy,house,residence,95000,1,,Partially equipped,1,1,,,0,Normal,,,0,,0,,0,0,1,,2,0,0,,0,0,1,0,,,0
10903,6030 Goutroux,flat,ground-floor,199000,2,89.0,Super equipped,1,1,,3,0,New,2021,12.07534310348977,0,26.06862890431938,0,9.695409059320095,1,1,1,,2,1,85.0,9.774856020350132,0,0,1,0,,7.936074434044853,1
10904,6030 Goutroux,flat,apartment,197500,2,107.0,Super equipped,1,1,3,3,0,New,2021,14.517547326667476,0,31.34093587373229,0,11.656278307272473,1,1,1,,2,0,0,11.751793193005216,0,0,1,0,,9.541123195986508,0
10905,6030 Goutroux,flat,apartment,162500,2,65.0,Super equipped,1,1,2,3,0,New,,8.819070805919495,0,19.038886278435502,0,7.080916728716923,1,1,1,,2,0,0,7.138939790143355,0,0,1,0,,5.796009418122646,0
10906,6030 Goutroux,flat,apartment,179900,2,91.0,Super equipped,1,1,1,3,0,New,2021,12.346699128287293,0,26.654440789809705,0,9.913283420203692,1,1,1,,2,0,0,9.994515706200698,0,0,1,0,,8.114413185371703,1
10907,6030 Goutroux,house,villa,282500,3,141.0,Fully equipped,2,2,,,0,Normal,2021,19.130599748225364,0,31.0,0,15.360142442293633,0,0,1,,4,0,0,15.486007852464818,0,0,1,0,,12.57288196854297,0
10908,6030 Goutroux,house,villa,253700,3,124.0,Fully equipped,1,2,,,0,Normal,2021,16.82407353744642,0,28.0,0,13.508210374783053,0,0,1,,4,0,0,13.618900522735016,0,0,1,0,,11.057002582264738,0
10909,6030 Goutroux,house,villa,259600,3,124.0,Fully equipped,1,2,,,0,Normal,2021,16.82407353744642,0,28.0,0,13.508210374783053,0,0,1,,4,0,0,13.618900522735016,0,0,1,0,,11.057002582264738,0
10910,6030 Goutroux,house,villa,257000,3,124.0,Fully equipped,1,2,,,0,Normal,2021,16.82407353744642,0,28.0,0,13.508210374783053,0,0,1,,4,0,0,13.618900522735016,0,0,1,0,,11.057002582264738,0
10911,6030 Goutroux,house,villa,264300,3,124.0,Fully equipped,1,2,,,0,Normal,2021,16.82407353744642,0,28.0,0,13.508210374783053,0,0,1,,4,0,0,13.618900522735016,0,0,1,0,,11.057002582264738,0
10912,6030 Goutroux,house,villa,263600,3,124.0,Fully equipped,1,2,,,0,Normal,2021,16.82407353744642,0,28.0,0,13.508210374783053,0,0,1,,4,0,0,13.618900522735016,0,0,1,0,,11.057002582264738,0
10913,6030 Goutroux,house,villa,298600,3,141.0,Fully equipped,2,2,,,0,Normal,2021,19.130599748225364,0,31.0,0,15.360142442293633,0,0,1,,4,0,0,15.486007852464818,0,0,1,0,,12.57288196854297,0
10914,6030 Goutroux,house,residence,264000,3,131.0,Partially equipped,1,2,,,0,New,2021,11.0,0,31.0,0,10.0,0,0,1,,3,1,,14.0,0,0,1,1,126.0,13.0,0
10915,6030 Goutroux,house,residence,254700,3,114.0,Partially equipped,1,2,,,0,New,2021,13.0,0,29.0,0,10.0,0,0,1,,3,1,,12.0,0,0,1,1,198.0,8.0,0
10916,6030 Goutroux,house,residence,214200,3,123.0,Partially equipped,1,2,,,0,New,2021,11.0,0,28.0,0,10.0,0,0,1,,2,1,,12.0,0,0,1,1,48.0,12.0,0
10917,6030 Goutroux,house,villa,282600,3,141.0,Partially equipped,2,2,,,0,Normal,2021,19.130599748225364,0,31.0,0,15.360142442293633,0,0,1,,4,0,0,15.486007852464818,0,0,1,0,,12.57288196854297,0
10918,6030 Goutroux,house,villa,214800,3,122.0,Partially equipped,1,2,,,0,Normal,2021,16.552717512648897,0,28.0,0,13.290336013899456,0,0,1,,4,0,0,13.399240836884452,0,0,1,0,,10.878663830937889,0
10919,6030 Goutroux,house,villa,215500,3,122.0,Partially equipped,1,2,,,0,Normal,2021,16.552717512648897,0,28.0,0,13.290336013899456,0,0,1,,4,0,0,13.399240836884452,0,0,1,0,,10.878663830937889,0
10920,6030 Goutroux,house,villa,277300,3,141.0,Partially equipped,2,2,,,0,Normal,2021,19.130599748225364,0,31.0,0,15.360142442293633,0,0,1,,4,0,0,15.486007852464818,0,0,1,0,,12.57288196854297,0
10921,6030 Goutroux,house,villa,254700,3,114.0,Fully equipped,1,2,,,0,Normal,2021,15.467293413458806,0,28.0,0,12.418838570365065,0,0,1,,4,0,0,12.520602093482193,0,0,1,0,,10.165308825630486,0
10922,6030 Goutroux,house,villa,252800,3,124.0,Fully equipped,1,2,,,0,Normal,2021,16.82407353744642,0,28.0,0,13.508210374783053,0,0,1,,4,0,0,13.618900522735016,0,0,1,0,,11.057002582264738,0
10923,6030 Goutroux,house,villa,253000,3,124.0,Fully equipped,1,2,,,0,Normal,2021,16.82407353744642,0,28.0,0,13.508210374783053,0,0,1,,4,0,0,13.618900522735016,0,0,1,0,,11.057002582264738,0
10924,6030 Goutroux,house,villa,264800,3,124.0,Fully equipped,1,2,,,0,Normal,2021,16.82407353744642,0,28.0,0,13.508210374783053,0,0,1,,4,0,0,13.618900522735016,0,0,1,0,,11.057002582264738,0
